ORDER_ID,SKU_ID
1,175929
1,175929
1,175929
1,175929
1,175929
1,214988
1,24971
1,24971
1,24971
1,158895
1,158895
1,158895
1,196774
1,196774
1,196774
1,196774
1,196774
1,168370
1,168370
1,168370
1,168370
1,32928
1,32928
2,23970
2,23970
2,23970
2,23970
2,23970
2,23970
2,23970
2,23970
2,210642
2,210642
2,210642
2,210642
2,210642
2,145079
2,145079
2,145079
2,145079
2,176636
2,176636
2,35379
2,35379
2,35379
2,35379
2,35379
2,35379
2,35379
2,35379
2,179317
2,97266
2,97266
2,97266
2,97266
2,97266
2,97266
2,97266
2,97266
2,97266
2,97266
2,48048
2,48048
2,48048
2,48048
2,48048
2,48048
2,85839
2,85839
2,85839
2,85839
2,85839
2,85839
2,47048
2,47048
2,47048
2,47048
2,47048
2,47048
2,47048
2,47048
2,47048
2,47048
2,136212
2,136212
2,136212
2,136212
2,136212
2,136212
2,136212
2,136212
2,136212
2,136212
2,56670
2,56670
2,56670
2,56670
2,56670
2,56670
2,192723
2,192723
2,192723
2,192723
2,192723
2,192723
2,192723
2,192723
2,192723
2,192723
2,193456
2,193456
2,193456
2,155166
2,155166
2,155166
2,155166
3,173164
3,173164
3,173164
3,173164
3,173164
3,173164
3,113138
3,113138
3,113138
3,82320
3,82320
3,82320
3,82320
3,82320
3,82320
3,82320
3,193865
3,193865
3,193865
3,193865
3,49432
3,49432
3,27858
3,27858
3,27858
3,27858
3,24219
3,24219
3,3104
3,3104
3,3104
3,90350
3,90350
3,90350
3,90350
3,90350
3,91766
3,211755
3,211755
3,211755
3,211755
3,211755
3,211755
3,211755
3,211755
3,211755
3,211755
3,78478
3,78478
3,78478
3,78478
3,72316
3,72316
3,72316
3,72316
3,72316
3,72316
3,72316
3,72316
3,72316
3,72316
3,29663
3,29663
3,29663
3,29663
3,29663
3,29663
3,196827
3,196827
3,196827
3,196827
3,196827
3,196827
3,196827
3,196827
3,196827
3,122719
3,122719
3,122719
3,122719
3,122719
3,122719
3,122719
3,122719
3,122719
3,122719
4,63656
4,63656
4,63656
4,63656
4,63656
4,63656
4,63656
4,63656
4,63656
4,63656
4,189220
4,189220
4,189220
4,189220
4,189220
4,189220
4,189220
4,189220
4,137643
4,137643
4,174044
4,174044
4,174044
4,174044
4,174044
4,174044
4,174044
4,174044
4,174044
4,174044
4,175096
4,175096
4,185412
4,185412
4,185412
4,185412
4,185412
4,185412
4,185412
4,185412
4,4
4,4
4,138512
4,138512
4,138512
4,138512
4,138512
4,138512
4,138512
4,138512
4,138512
4,138512
4,24813
4,24813
4,24813
4,24813
4,24813
4,24813
4,24813
4,24813
4,24813
4,68688
4,68688
4,68688
4,68688
4,68688
4,68688
4,213847
4,213847
4,213847
4,213847
4,213847
4,213847
4,213847
4,213847
4,213847
4,213847
4,178650
4,178650
4,178650
4,178650
4,178650
4,178650
4,178650
4,178650
4,106038
4,106038
4,106038
4,106038
4,106038
4,106038
4,106038
4,106038
4,106038
4,42844
4,42844
4,42844
4,42844
4,42844
4,42844
4,42844
4,42844
4,212299
4,212299
4,212299
4,212299
4,212299
4,212299
4,212299
4,212299
4,62740
4,62740
4,62740
4,127926
4,127926
4,127926
4,127926
4,127926
4,127926
4,127926
4,127926
4,127926
4,1390
4,1390
4,214672
4,214672
4,214672
4,214672
4,214672
4,214672
4,214672
4,214672
4,123147
5,91697
5,91697
5,91697
5,91697
5,91697
5,91697
5,91732
5,213787
5,171014
5,171014
5,33030
5,33030
5,33030
5,33030
5,211869
5,211869
5,211869
5,211869
5,196203
5,196203
5,196203
5,155724
5,53632
5,53632
5,53632
5,53632
5,53632
5,128593
5,128593
5,128593
5,128593
5,128593
5,128593
5,128593
5,156012
5,156012
5,156012
5,156012
5,156012
5,156012
5,156012
5,156012
5,195710
5,195710
5,195710
5,195710
5,195710
5,195710
5,195710
5,195710
5,195710
5,7463
5,7463
5,7463
5,7463
5,7463
5,7463
5,100755
5,100755
5,100755
5,168002
5,168002
5,168002
5,168002
5,168002
5,180744
5,180744
5,180744
5,180744
5,187781
5,187781
5,187781
5,187781
5,121352
5,121352
5,121352
5,121352
5,121352
5,121352
5,121352
5,121352
5,121352
5,211350
5,211350
5,211350
5,211350
5,211350
5,211350
6,14814
6,14814
6,14814
6,14814
6,14814
6,196684
6,196684
6,196684
6,196684
6,196684
6,196684
6,196684
6,196684
6,207338
6,207338
6,207338
6,207338
6,207338
6,207338
6,207338
6,207338
6,207338
6,167024
6,167024
6,167024
6,167024
6,167024
7,41192
7,41192
7,41192
7,58267
7,58267
7,58267
7,58267
7,58267
7,119688
7,119688
7,119688
7,119688
7,5606
7,5606
7,5606
7,5606
7,5606
7,4923
7,4923
7,4923
7,4923
7,4923
7,4923
7,185110
7,185110
7,212723
7,212723
7,212723
7,212723
7,212723
7,212723
7,212723
7,152853
7,152853
7,152853
7,152853
7,152853
7,152853
7,152853
7,146557
7,146557
7,14389
7,14389
7,14389
7,14389
7,14389
7,14389
7,14389
7,14389
7,14389
8,181317
8,181317
8,181317
8,108861
8,108861
8,108861
8,108861
8,127956
8,127956
8,127956
8,127956
8,127956
8,127956
8,127956
8,127956
8,127956
8,64678
8,64678
8,64678
8,64678
8,64678
8,64678
8,64678
8,64678
8,46205
8,46205
8,46205
8,46205
8,173649
8,173649
8,173649
8,173649
8,21768
8,21768
8,21768
8,21768
8,21768
9,171388
9,171388
9,171388
9,171388
9,102268
9,102268
9,41831
9,41831
9,41831
9,41831
9,41831
9,41831
9,41831
9,41831
9,41831
9,41831
9,129004
9,129004
9,129004
9,184988
9,184988
9,184988
9,184988
9,184988
9,184988
9,100499
9,100499
9,100499
9,100499
9,100499
9,100499
9,209081
9,209081
9,87270
9,87270
9,87270
9,87270
9,87270
9,176512
9,176512
9,176512
9,176512
9,176512
9,176512
9,66797
9,66797
9,66797
9,66797
9,53886
9,53886
9,53886
9,53886
9,53886
9,53886
9,53886
9,71280
9,71280
9,71280
9,71280
9,71280
9,71280
9,71280
9,79403
10,83134
10,83134
10,83134
10,83134
10,83134
10,83134
10,83134
10,83134
10,83134
10,91211
10,91211
10,91211
10,91211
10,91211
10,91211
10,187394
10,187394
10,199570
10,199570
10,199570
10,199570
10,199570
10,199570
10,199570
10,126846
10,126846
10,126846
10,126846
10,126846
10,126846
10,126846
10,126846
10,61106
10,61106
10,61106
10,61106
11,177313
11,177313
11,177313
11,177313
11,177313
